tag,scenario,mode,vision_only,audio_backend,rep,rc,seconds,started_iso,out_path
mas-auction-r0,abandoned_object_01,mas-auction,False,auto,0,0,96.7,2026-08-18T15:09:52,results/run_abandoned_object_01_mas-auction-r0.json
mas-rules-r0,abandoned_object_01,mas-rules,False,auto,0,0,91.8,2026-08-18T15:11:29,results/run_abandoned_object_01_mas-rules-r0.json
mas-nocoord-r0,abandoned_object_01,mas-nocoord,False,auto,0,0,97.5,2026-08-18T15:13:01,results/run_abandoned_object_01_mas-nocoord-r0.json
centralized-r0,abandoned_object_01,centralized,False,auto,0,0,107.3,2026-08-18T15:14:38,results/run_abandoned_object_01_centralized-r0.json
mas-auction-r0,audio_alarm_clock_01,mas-auction,False,auto,0,0,45.6,2026-08-18T15:16:26,results/run_audio_alarm_clock_01_mas-auction-r0.json
mas-auction-visiononly-r0,audio_alarm_clock_01,mas-auction,True,auto,0,0,8.4,2026-08-18T15:17:11,results/run_audio_alarm_clock_01_mas-auction-visiononly-r0.json
mas-rules-r0,audio_alarm_clock_01,mas-rules,False,auto,0,0,46.7,2026-08-18T15:17:20,results/run_audio_alarm_clock_01_mas-rules-r0.json
mas-rules-visiononly-r0,audio_alarm_clock_01,mas-rules,True,auto,0,0,8.5,2026-08-18T15:18:06,results/run_audio_alarm_clock_01_mas-rules-visiononly-r0.json
mas-nocoord-r0,audio_alarm_clock_01,mas-nocoord,False,auto,0,0,45.8,2026-08-18T15:18:15,results/run_audio_alarm_clock_01_mas-nocoord-r0.json
mas-nocoord-visiononly-r0,audio_alarm_clock_01,mas-nocoord,True,auto,0,0,8.5,2026-08-18T15:19:01,results/run_audio_alarm_clock_01_mas-nocoord-visiononly-r0.json
centralized-r0,audio_alarm_clock_01,centralized,False,auto,0,0,29.1,2026-08-18T15:19:09,results/run_audio_alarm_clock_01_centralized-r0.json
centralized-visiononly-r0,audio_alarm_clock_01,centralized,True,auto,0,0,8.4,2026-08-18T15:19:38,results/run_audio_alarm_clock_01_centralized-visiononly-r0.json
mas-auction-r0,audio_alarm_siren_01,mas-auction,False,auto,0,0,46.5,2026-08-18T15:19:47,results/run_audio_alarm_siren_01_mas-auction-r0.json
mas-auction-visiononly-r0,audio_alarm_siren_01,mas-auction,True,auto,0,0,8.4,2026-08-18T15:20:33,results/run_audio_alarm_siren_01_mas-auction-visiononly-r0.json
mas-rules-r0,audio_alarm_siren_01,mas-rules,False,auto,0,0,45.0,2026-08-18T15:20:42,results/run_audio_alarm_siren_01_mas-rules-r0.json
mas-rules-visiononly-r0,audio_alarm_siren_01,mas-rules,True,auto,0,0,8.4,2026-08-18T15:21:27,results/run_audio_alarm_siren_01_mas-rules-visiononly-r0.json
mas-nocoord-r0,audio_alarm_siren_01,mas-nocoord,False,auto,0,0,46.8,2026-08-18T15:21:35,results/run_audio_alarm_siren_01_mas-nocoord-r0.json
mas-nocoord-visiononly-r0,audio_alarm_siren_01,mas-nocoord,True,auto,0,0,8.4,2026-08-18T15:22:22,results/run_audio_alarm_siren_01_mas-nocoord-visiononly-r0.json
centralized-r0,audio_alarm_siren_01,centralized,False,auto,0,0,28.9,2026-08-18T15:22:30,results/run_audio_alarm_siren_01_centralized-r0.json
centralized-visiononly-r0,audio_alarm_siren_01,centralized,True,auto,0,0,8.4,2026-08-18T15:22:59,results/run_audio_alarm_siren_01_centralized-visiononly-r0.json
mas-auction-r0,audio_glass_break_01,mas-auction,False,auto,0,0,45.9,2026-08-18T15:23:07,results/run_audio_glass_break_01_mas-auction-r0.json
mas-auction-visiononly-r0,audio_glass_break_01,mas-auction,True,auto,0,0,8.4,2026-08-18T15:23:53,results/run_audio_glass_break_01_mas-auction-visiononly-r0.json
mas-rules-r0,audio_glass_break_01,mas-rules,False,auto,0,0,47.1,2026-08-18T15:24:02,results/run_audio_glass_break_01_mas-rules-r0.json
mas-rules-visiononly-r0,audio_glass_break_01,mas-rules,True,auto,0,0,8.4,2026-08-18T15:24:49,results/run_audio_glass_break_01_mas-rules-visiononly-r0.json
mas-nocoord-r0,audio_glass_break_01,mas-nocoord,False,auto,0,0,46.0,2026-08-18T15:24:57,results/run_audio_glass_break_01_mas-nocoord-r0.json
mas-nocoord-visiononly-r0,audio_glass_break_01,mas-nocoord,True,auto,0,0,8.3,2026-08-18T15:25:43,results/run_audio_glass_break_01_mas-nocoord-visiononly-r0.json
centralized-r0,audio_glass_break_01,centralized,False,auto,0,0,27.8,2026-08-18T15:25:52,results/run_audio_glass_break_01_centralized-r0.json
centralized-visiononly-r0,audio_glass_break_01,centralized,True,auto,0,0,8.4,2026-08-18T15:26:20,results/run_audio_glass_break_01_centralized-visiononly-r0.json
mas-auction-r0,combined_audio_video_01,mas-auction,False,auto,0,0,83.5,2026-08-18T15:26:28,results/run_combined_audio_video_01_mas-auction-r0.json
mas-auction-visiononly-r0,combined_audio_video_01,mas-auction,True,auto,0,0,80.6,2026-08-18T15:27:52,results/run_combined_audio_video_01_mas-auction-visiononly-r0.json
mas-rules-r0,combined_audio_video_01,mas-rules,False,auto,0,0,100.3,2026-08-18T15:29:12,results/run_combined_audio_video_01_mas-rules-r0.json
mas-rules-visiononly-r0,combined_audio_video_01,mas-rules,True,auto,0,0,75.8,2026-08-18T15:30:52,results/run_combined_audio_video_01_mas-rules-visiononly-r0.json
mas-nocoord-r0,combined_audio_video_01,mas-nocoord,False,auto,0,0,89.0,2026-08-18T15:32:08,results/run_combined_audio_video_01_mas-nocoord-r0.json
mas-nocoord-visiononly-r0,combined_audio_video_01,mas-nocoord,True,auto,0,0,67.8,2026-08-18T15:33:37,results/run_combined_audio_video_01_mas-nocoord-visiononly-r0.json
centralized-r0,combined_audio_video_01,centralized,False,auto,0,0,89.9,2026-08-18T15:34:45,results/run_combined_audio_video_01_centralized-r0.json
centralized-visiononly-r0,combined_audio_video_01,centralized,True,auto,0,0,76.6,2026-08-18T15:36:15,results/run_combined_audio_video_01_centralized-visiononly-r0.json
mas-auction-r0,demo_site_01,mas-auction,False,auto,0,0,106.8,2026-08-18T15:37:32,results/run_demo_site_01_mas-auction-r0.json
mas-auction-visiononly-r0,demo_site_01,mas-auction,True,auto,0,0,85.1,2026-08-18T15:39:19,results/run_demo_site_01_mas-auction-visiononly-r0.json
mas-rules-r0,demo_site_01,mas-rules,False,auto,0,0,120.1,2026-08-18T15:40:44,results/run_demo_site_01_mas-rules-r0.json
mas-rules-visiononly-r0,demo_site_01,mas-rules,True,auto,0,0,105.1,2026-08-18T15:42:44,results/run_demo_site_01_mas-rules-visiononly-r0.json
mas-nocoord-r0,demo_site_01,mas-nocoord,False,auto,0,0,121.1,2026-08-18T15:44:29,results/run_demo_site_01_mas-nocoord-r0.json
mas-nocoord-visiononly-r0,demo_site_01,mas-nocoord,True,auto,0,0,110.1,2026-08-18T15:46:30,results/run_demo_site_01_mas-nocoord-visiononly-r0.json
centralized-r0,demo_site_01,centralized,False,auto,0,0,121.8,2026-08-18T15:48:20,results/run_demo_site_01_centralized-r0.json
centralized-visiononly-r0,demo_site_01,centralized,True,auto,0,0,99.3,2026-08-18T15:50:22,results/run_demo_site_01_centralized-visiononly-r0.json
mas-auction-r0,fight_01,mas-auction,False,auto,0,0,28.9,2026-08-18T15:52:01,results/run_fight_01_mas-auction-r0.json
mas-rules-r0,fight_01,mas-rules,False,auto,0,0,29.7,2026-08-18T15:52:30,results/run_fight_01_mas-rules-r0.json
mas-nocoord-r0,fight_01,mas-nocoord,False,auto,0,0,29.2,2026-08-18T15:53:00,results/run_fight_01_mas-nocoord-r0.json
centralized-r0,fight_01,centralized,False,auto,0,0,28.9,2026-08-18T15:53:29,results/run_fight_01_centralized-r0.json
mas-auction-r0,intrusion_01,mas-auction,False,auto,0,0,100.6,2026-08-18T15:53:58,results/run_intrusion_01_mas-auction-r0.json
mas-auction-visiononly-r0,intrusion_01,mas-auction,True,auto,0,0,95.0,2026-08-18T15:55:39,results/run_intrusion_01_mas-auction-visiononly-r0.json
mas-rules-r0,intrusion_01,mas-rules,False,auto,0,0,115.7,2026-08-18T15:57:14,results/run_intrusion_01_mas-rules-r0.json
mas-rules-visiononly-r0,intrusion_01,mas-rules,True,auto,0,0,97.9,2026-08-18T15:59:09,results/run_intrusion_01_mas-rules-visiononly-r0.json
mas-nocoord-r0,intrusion_01,mas-nocoord,False,auto,0,0,124.4,2026-08-18T16:00:47,results/run_intrusion_01_mas-nocoord-r0.json
mas-nocoord-visiononly-r0,intrusion_01,mas-nocoord,True,auto,0,0,94.2,2026-08-18T16:02:52,results/run_intrusion_01_mas-nocoord-visiononly-r0.json
centralized-r0,intrusion_01,centralized,False,auto,0,0,127.8,2026-08-18T16:04:26,results/run_intrusion_01_centralized-r0.json
centralized-visiononly-r0,intrusion_01,centralized,True,auto,0,0,109.9,2026-08-18T16:06:34,results/run_intrusion_01_centralized-visiononly-r0.json
mas-auction-r0,loitering_01,mas-auction,False,auto,0,0,67.1,2026-08-18T16:08:23,results/run_loitering_01_mas-auction-r0.json
mas-rules-r0,loitering_01,mas-rules,False,auto,0,0,67.4,2026-08-18T16:09:31,results/run_loitering_01_mas-rules-r0.json
mas-nocoord-r0,loitering_01,mas-nocoord,False,auto,0,0,67.2,2026-08-18T16:10:38,results/run_loitering_01_mas-nocoord-r0.json
centralized-r0,loitering_01,centralized,False,auto,0,0,62.7,2026-08-18T16:11:45,results/run_loitering_01_centralized-r0.json
mas-auction-r1,abandoned_object_01,mas-auction,False,auto,1,0,90.2,2026-08-18T16:17:25,results/run_abandoned_object_01_mas-auction-r1.json
mas-auction-r2,abandoned_object_01,mas-auction,False,auto,2,0,91.6,2026-08-18T16:18:55,results/run_abandoned_object_01_mas-auction-r2.json
mas-auction-r3,abandoned_object_01,mas-auction,False,auto,3,0,89.6,2026-08-18T16:20:27,results/run_abandoned_object_01_mas-auction-r3.json
mas-auction-r4,abandoned_object_01,mas-auction,False,auto,4,0,89.8,2026-08-18T16:21:56,results/run_abandoned_object_01_mas-auction-r4.json
mas-rules-r1,abandoned_object_01,mas-rules,False,auto,1,0,89.1,2026-08-18T16:23:26,results/run_abandoned_object_01_mas-rules-r1.json
mas-rules-r2,abandoned_object_01,mas-rules,False,auto,2,0,89.7,2026-08-18T16:24:55,results/run_abandoned_object_01_mas-rules-r2.json
mas-rules-r3,abandoned_object_01,mas-rules,False,auto,3,0,89.7,2026-08-18T16:26:25,results/run_abandoned_object_01_mas-rules-r3.json
mas-rules-r4,abandoned_object_01,mas-rules,False,auto,4,0,90.3,2026-08-18T16:27:55,results/run_abandoned_object_01_mas-rules-r4.json
