threshold,tp,fp,fn,tn,precision,recall,fpr
0.0,67,482,0,0,0.122,1.0,1.0
0.05,67,470,0,12,0.125,1.0,0.975
0.1,66,385,1,97,0.146,0.985,0.799
0.15,63,369,4,113,0.146,0.94,0.766
0.2,59,368,8,114,0.138,0.881,0.763
0.25,52,365,15,117,0.125,0.776,0.757
0.3,49,364,18,118,0.119,0.731,0.755
0.35,48,364,19,118,0.117,0.716,0.755
0.4,42,362,25,120,0.104,0.627,0.751
0.45,35,360,32,122,0.089,0.522,0.747
0.5,34,358,33,124,0.087,0.507,0.743
0.55,31,355,36,127,0.08,0.463,0.737
0.6,25,351,42,131,0.066,0.373,0.728
0.65,24,346,43,136,0.065,0.358,0.718
0.7,21,342,46,140,0.058,0.313,0.71
0.75,14,336,53,146,0.04,0.209,0.697
0.8,13,331,54,151,0.038,0.194,0.687
0.85,6,315,61,167,0.019,0.09,0.654
0.9,4,129,63,353,0.03,0.06,0.268
0.95,1,21,66,461,0.045,0.015,0.044
1.0,0,0,67,482,,0.0,0.0
