scenario,mode,audio_backend,rep,tag,gt_events,alerts,tp,fp,fn,precision,recall,f1,mean_time_to_alert_s,false_alerts_per_hour,coord_messages,coord_tasks,mean_allocation_ms,wall_seconds
abandoned_object_01,centralized,auto,0,centralized-r0,1,2,1,1,0,0.5,1.0,0.667,9.35,36.8,0,0,,97.8
abandoned_object_01,centralized,auto,1,centralized-r1,1,2,1,1,0,0.5,1.0,0.667,17.59,44.0,0,0,,81.9
abandoned_object_01,centralized,auto,2,centralized-r2,1,2,1,1,0,0.5,1.0,0.667,0.0,43.7,0,0,,82.4
abandoned_object_01,centralized,auto,3,centralized-r3,1,2,1,1,0,0.5,1.0,0.667,0.0,43.8,0,0,,82.2
abandoned_object_01,centralized,auto,4,centralized-r4,1,2,1,1,0,0.5,1.0,0.667,0.0,43.0,0,0,,83.8
abandoned_object_01,centralized,auto,,,1,1,0,1,1,0.0,0.0,0.0,,76.3,0,0,,47.2
abandoned_object_01,mas-auction,auto,0,mas-auction-r0,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,8,2,1493.1,87.3
abandoned_object_01,mas-auction,auto,1,mas-auction-r1,1,0,0,0,1,0.0,0.0,0.0,,0.0,8,2,1394.9,80.9
abandoned_object_01,mas-auction,auto,2,mas-auction-r2,1,0,0,0,1,0.0,0.0,0.0,,0.0,8,2,1427.1,82.6
abandoned_object_01,mas-auction,auto,3,mas-auction-r3,1,0,0,0,1,0.0,0.0,0.0,,0.0,8,2,1341.8,80.9
abandoned_object_01,mas-auction,auto,4,mas-auction-r4,1,0,0,0,1,0.0,0.0,0.0,,0.0,8,2,1390.9,80.9
abandoned_object_01,mas-auction,auto,,,1,0,0,0,1,0.0,0.0,0.0,,0.0,8,2,1325.6,82.6
abandoned_object_01,mas-nocoord,auto,0,mas-nocoord-r0,1,2,1,1,0,0.5,1.0,0.667,0.0,40.8,0,0,,88.3
abandoned_object_01,mas-nocoord,auto,1,mas-nocoord-r1,1,2,1,1,0,0.5,1.0,0.667,0.0,44.5,0,0,,80.9
abandoned_object_01,mas-nocoord,auto,2,mas-nocoord-r2,1,2,0,2,1,0.0,0.0,0.0,,85.1,0,0,,84.6
abandoned_object_01,mas-nocoord,auto,3,mas-nocoord-r3,1,2,1,1,0,0.5,1.0,0.667,0.0,43.8,0,0,,82.1
abandoned_object_01,mas-nocoord,auto,4,mas-nocoord-r4,1,2,1,1,0,0.5,1.0,0.667,0.0,44.3,0,0,,81.2
abandoned_object_01,mas-nocoord,auto,,,1,2,1,1,0,0.5,1.0,0.667,0.0,43.6,0,0,,82.5
abandoned_object_01,mas-rules,auto,0,mas-rules-r0,1,0,0,0,1,0.0,0.0,0.0,,0.0,4,2,461.5,82.7
abandoned_object_01,mas-rules,auto,1,mas-rules-r1,1,0,0,0,1,0.0,0.0,0.0,,0.0,4,2,414.4,80.9
abandoned_object_01,mas-rules,auto,2,mas-rules-r2,1,0,0,0,1,0.0,0.0,0.0,,0.0,4,2,361.7,80.9
abandoned_object_01,mas-rules,auto,3,mas-rules-r3,1,0,0,0,1,0.0,0.0,0.0,,0.0,4,2,442.2,80.9
abandoned_object_01,mas-rules,auto,4,mas-rules-r4,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,4,2,447.4,80.9
abandoned_object_01,mas-rules,auto,,,1,0,0,0,1,0.0,0.0,0.0,,0.0,4,2,195.3,82.6
audio_alarm_clock_01,centralized,dsp,0,centralized-dsp-r0,1,1,0,1,1,0.0,0.0,0.0,,356.0,0,0,,10.1
audio_alarm_clock_01,centralized,dsp,1,centralized-dsp-r1,1,1,0,1,1,0.0,0.0,0.0,,360.1,0,0,,10.0
audio_alarm_clock_01,centralized,dsp,2,centralized-dsp-r2,1,1,0,1,1,0.0,0.0,0.0,,360.4,0,0,,10.0
audio_alarm_clock_01,centralized,auto,0,centralized-r0,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,0,0,,11.9
audio_alarm_clock_01,centralized,auto,1,centralized-r1,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,0,0,,11.4
audio_alarm_clock_01,centralized,auto,2,centralized-r2,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,0,0,,11.4
audio_alarm_clock_01,centralized,auto,3,centralized-r3,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,0,0,,11.4
audio_alarm_clock_01,centralized,auto,4,centralized-r4,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,0,0,,11.4
audio_alarm_clock_01,centralized-visiononly,auto,0,centralized-visiononly-r0,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,centralized-visiononly,auto,1,centralized-visiononly-r1,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,centralized-visiononly,auto,2,centralized-visiononly-r2,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,centralized-visiononly,auto,3,centralized-visiononly-r3,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,centralized-visiononly,auto,4,centralized-visiononly-r4,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-auction,dsp,0,mas-auction-dsp-r0,1,1,0,1,1,0.0,0.0,0.0,,132.7,0,0,,27.1
audio_alarm_clock_01,mas-auction,dsp,1,mas-auction-dsp-r1,1,1,0,1,1,0.0,0.0,0.0,,132.0,0,0,,27.3
audio_alarm_clock_01,mas-auction,dsp,2,mas-auction-dsp-r2,1,1,0,1,1,0.0,0.0,0.0,,133.1,0,0,,27.1
audio_alarm_clock_01,mas-auction,auto,0,mas-auction-r0,1,1,1,0,0,1.0,1.0,1.0,9.46,0.0,1,1,,28.6
audio_alarm_clock_01,mas-auction,auto,1,mas-auction-r1,1,1,1,0,0,1.0,1.0,1.0,9.58,0.0,1,1,,28.7
audio_alarm_clock_01,mas-auction,auto,2,mas-auction-r2,1,1,1,0,0,1.0,1.0,1.0,9.52,0.0,1,1,,28.8
audio_alarm_clock_01,mas-auction,auto,3,mas-auction-r3,1,1,1,0,0,1.0,1.0,1.0,9.46,0.0,1,1,,29.0
audio_alarm_clock_01,mas-auction,auto,4,mas-auction-r4,1,1,1,0,0,1.0,1.0,1.0,9.11,0.0,1,1,,28.6
audio_alarm_clock_01,mas-auction-visiononly,auto,0,mas-auction-visiononly-r0,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-auction-visiononly,auto,1,mas-auction-visiononly-r1,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-auction-visiononly,auto,2,mas-auction-visiononly-r2,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-auction-visiononly,auto,3,mas-auction-visiononly-r3,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-auction-visiononly,auto,4,mas-auction-visiononly-r4,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-nocoord,dsp,0,mas-nocoord-dsp-r0,1,1,0,1,1,0.0,0.0,0.0,,131.9,0,0,,27.3
audio_alarm_clock_01,mas-nocoord,dsp,1,mas-nocoord-dsp-r1,1,1,0,1,1,0.0,0.0,0.0,,132.3,0,0,,27.2
audio_alarm_clock_01,mas-nocoord,dsp,2,mas-nocoord-dsp-r2,1,1,0,1,1,0.0,0.0,0.0,,132.7,0,0,,27.1
audio_alarm_clock_01,mas-nocoord,auto,0,mas-nocoord-r0,1,1,1,0,0,1.0,1.0,1.0,8.54,0.0,0,0,,28.8
audio_alarm_clock_01,mas-nocoord,auto,1,mas-nocoord-r1,1,1,1,0,0,1.0,1.0,1.0,8.01,0.0,0,0,,28.6
audio_alarm_clock_01,mas-nocoord,auto,2,mas-nocoord-r2,1,1,1,0,0,1.0,1.0,1.0,7.96,0.0,0,0,,28.6
audio_alarm_clock_01,mas-nocoord,auto,3,mas-nocoord-r3,1,1,1,0,0,1.0,1.0,1.0,8.28,0.0,0,0,,28.6
audio_alarm_clock_01,mas-nocoord,auto,4,mas-nocoord-r4,1,1,1,0,0,1.0,1.0,1.0,7.9,0.0,0,0,,28.5
audio_alarm_clock_01,mas-nocoord-visiononly,auto,0,mas-nocoord-visiononly-r0,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-nocoord-visiononly,auto,1,mas-nocoord-visiononly-r1,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-nocoord-visiononly,auto,2,mas-nocoord-visiononly-r2,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-nocoord-visiononly,auto,3,mas-nocoord-visiononly-r3,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-nocoord-visiononly,auto,4,mas-nocoord-visiononly-r4,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-rules,dsp,0,mas-rules-dsp-r0,1,1,0,1,1,0.0,0.0,0.0,,132.4,0,0,,27.2
audio_alarm_clock_01,mas-rules,dsp,1,mas-rules-dsp-r1,1,1,0,1,1,0.0,0.0,0.0,,132.0,0,0,,27.3
audio_alarm_clock_01,mas-rules,dsp,2,mas-rules-dsp-r2,1,1,0,1,1,0.0,0.0,0.0,,132.3,0,0,,27.2
audio_alarm_clock_01,mas-rules,auto,0,mas-rules-r0,1,1,1,0,0,1.0,1.0,1.0,8.55,0.0,0,1,,29.0
audio_alarm_clock_01,mas-rules,auto,1,mas-rules-r1,1,1,1,0,0,1.0,1.0,1.0,7.93,0.0,0,1,,28.5
audio_alarm_clock_01,mas-rules,auto,2,mas-rules-r2,1,1,1,0,0,1.0,1.0,1.0,9.57,0.0,0,1,,29.5
audio_alarm_clock_01,mas-rules,auto,3,mas-rules-r3,1,1,1,0,0,1.0,1.0,1.0,7.88,0.0,0,1,,28.5
audio_alarm_clock_01,mas-rules,auto,4,mas-rules-r4,1,1,1,0,0,1.0,1.0,1.0,7.94,0.0,0,1,,28.5
audio_alarm_clock_01,mas-rules-visiononly,auto,0,mas-rules-visiononly-r0,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-rules-visiononly,auto,1,mas-rules-visiononly-r1,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-rules-visiononly,auto,2,mas-rules-visiononly-r2,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-rules-visiononly,auto,3,mas-rules-visiononly-r3,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_clock_01,mas-rules-visiononly,auto,4,mas-rules-visiononly-r4,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_siren_01,centralized,dsp,0,centralized-dsp-r0,1,1,0,1,1,0.0,0.0,0.0,,352.0,0,0,,10.2
audio_alarm_siren_01,centralized,dsp,1,centralized-dsp-r1,1,1,0,1,1,0.0,0.0,0.0,,361.8,0,0,,9.9
audio_alarm_siren_01,centralized,dsp,2,centralized-dsp-r2,1,1,0,1,1,0.0,0.0,0.0,,359.9,0,0,,10.0
audio_alarm_siren_01,centralized,auto,0,centralized-r0,1,1,1,0,0,1.0,1.0,1.0,0.0,0.0,0,0,,11.7
audio_alarm_siren_01,centralized,auto,1,centralized-r1,1,1,0,1,1,0.0,0.0,0.0,,392.1,0,0,,9.2
audio_alarm_siren_01,centralized,auto,2,centralized-r2,1,1,0,1,1,0.0,0.0,0.0,,393.7,0,0,,9.1
audio_alarm_siren_01,centralized,auto,3,centralized-r3,1,1,0,1,1,0.0,0.0,0.0,,393.9,0,0,,9.1
audio_alarm_siren_01,centralized,auto,4,centralized-r4,1,1,0,1,1,0.0,0.0,0.0,,393.4,0,0,,9.2
audio_alarm_siren_01,centralized-visiononly,auto,0,centralized-visiononly-r0,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_siren_01,centralized-visiononly,auto,1,centralized-visiononly-r1,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_alarm_siren_01,centralized-visiononly,auto,2,centralized-visiononly-r2,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
