scenario,mode,audio_backend,n_reps,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mean_time_to_alert_s_mean,mean_time_to_alert_s_std,false_alerts_per_hour_mean,false_alerts_per_hour_std,coord_messages_mean,coord_messages_std,mean_allocation_ms_mean,mean_allocation_ms_std,wall_seconds_mean,wall_seconds_std
abandoned_object_01,centralized,auto,5,0.5,0.0,1.0,0.0,0.667,0.0,5.388,7.932,42.26,3.075,0,0.0,,,85.62,6.848
abandoned_object_01,mas-auction,auto,5,0.2,0.447,0.2,0.447,0.2,0.447,0.0,,0.0,0.0,8,0.0,1409.56,55.77,82.52,2.772
abandoned_object_01,mas-nocoord,auto,5,0.4,0.224,0.8,0.447,0.534,0.298,0.0,0.0,51.7,18.731,0,0.0,,,83.42,3.091
abandoned_object_01,mas-rules,auto,5,0.2,0.447,0.2,0.447,0.2,0.447,0.0,,0.0,0.0,4,0.0,425.44,39.523,81.26,0.805
audio_alarm_clock_01,centralized,auto,5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,11.5,0.224
audio_alarm_clock_01,centralized,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,358.833,2.458,0,0.0,,,10.033,0.058
audio_alarm_clock_01,centralized-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
audio_alarm_clock_01,mas-auction,auto,5,1.0,0.0,1.0,0.0,1.0,0.0,9.426,0.184,0.0,0.0,1,0.0,,,28.74,0.167
audio_alarm_clock_01,mas-auction,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,132.6,0.557,0,0.0,,,27.167,0.115
audio_alarm_clock_01,mas-auction-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
audio_alarm_clock_01,mas-nocoord,auto,5,1.0,0.0,1.0,0.0,1.0,0.0,8.138,0.268,0.0,0.0,0,0.0,,,28.62,0.11
audio_alarm_clock_01,mas-nocoord,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,132.3,0.4,0,0.0,,,27.2,0.1
audio_alarm_clock_01,mas-nocoord-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
audio_alarm_clock_01,mas-rules,auto,5,1.0,0.0,1.0,0.0,1.0,0.0,8.374,0.723,0.0,0.0,0,0.0,,,28.8,0.447
audio_alarm_clock_01,mas-rules,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,132.233,0.208,0,0.0,,,27.233,0.058
audio_alarm_clock_01,mas-rules-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
audio_alarm_siren_01,centralized,auto,5,0.2,0.447,0.2,0.447,0.2,0.447,0.0,,314.62,175.879,0,0.0,,,9.66,1.141
audio_alarm_siren_01,centralized,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,357.9,5.197,0,0.0,,,10.033,0.153
audio_alarm_siren_01,centralized-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
audio_alarm_siren_01,mas-auction,auto,5,0.8,0.447,0.8,0.447,0.8,0.447,9.887,0.069,25.02,55.946,0,0.0,,,28.54,0.182
audio_alarm_siren_01,mas-auction,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,132.3,0.436,0,0.0,,,27.2,0.1
audio_alarm_siren_01,mas-auction-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
audio_alarm_siren_01,mas-nocoord,auto,5,0.6,0.548,0.6,0.548,0.6,0.548,8.363,0.021,50.34,68.937,0,0.0,,,27.2,1.296
audio_alarm_siren_01,mas-nocoord,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,131.767,4.119,0,0.0,,,27.333,0.874
audio_alarm_siren_01,mas-nocoord-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
audio_alarm_siren_01,mas-rules,auto,5,0.8,0.447,0.8,0.447,0.8,0.447,9.883,0.028,25.2,56.349,0,0.0,,,28.54,0.089
audio_alarm_siren_01,mas-rules,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,132.033,0.473,0,0.0,,,27.267,0.115
audio_alarm_siren_01,mas-rules-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
audio_glass_break_01,centralized,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,377.3,35.892,0,0.0,,,9.62,1.052
audio_glass_break_01,centralized,dsp,3,0.0,0.0,0.0,0.0,0.0,0.0,,,329.033,34.125,0,0.0,,,11.033,1.21
audio_glass_break_01,centralized-visiononly,auto,5,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0,0.0,,,8.0,0.0
