scenario,mode,gt_events,alerts,tp,fp,fn,precision,recall,f1,mean_time_to_alert_s,false_alerts_per_hour,coord_messages,coord_tasks,mean_allocation_ms,wall_seconds
abandoned_object_01,centralized,1,1,0,1,1,0.0,0.0,0.0,,76.3,0,0,,47.2
abandoned_object_01,mas-auction,1,0,0,0,1,0.0,0.0,0.0,,0.0,8,2,1325.6,82.6
abandoned_object_01,mas-nocoord,1,2,1,1,0,0.5,1.0,0.667,0.0,43.6,0,0,,82.5
abandoned_object_01,mas-rules,1,0,0,0,1,0.0,0.0,0.0,,0.0,4,2,195.3,82.6
audio_glass_break_01,centralized-visiononly,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_glass_break_01,centralized,1,1,0,1,1,0.0,0.0,0.0,,367.2,0,0,,9.8
audio_glass_break_01,mas-auction-visiononly,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_glass_break_01,mas-auction,1,1,0,1,1,0.0,0.0,0.0,,132.5,0,0,,27.2
audio_glass_break_01,mas-nocoord-visiononly,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_glass_break_01,mas-nocoord,1,1,0,1,1,0.0,0.0,0.0,,133.4,0,0,,27.0
audio_glass_break_01,mas-rules-visiononly,1,0,0,0,1,0.0,0.0,0.0,,0.0,0,0,,8.0
audio_glass_break_01,mas-rules,1,1,0,1,1,0.0,0.0,0.0,,133.6,0,0,,26.9
combined_audio_video_01,centralized-visiononly,2,2,1,1,1,0.5,0.5,0.5,0.02,47.7,0,0,,75.5
combined_audio_video_01,centralized,2,4,1,3,1,0.25,0.5,0.333,1.1,100.5,0,0,,107.4
combined_audio_video_01,mas-auction-visiononly,2,2,1,1,1,0.5,0.5,0.5,0.02,51.3,0,0,,70.1
combined_audio_video_01,mas-auction,2,3,1,2,1,0.333,0.5,0.4,2.03,91.1,0,0,,79.0
combined_audio_video_01,mas-nocoord-visiononly,2,2,1,1,1,0.5,0.5,0.5,0.0,48.3,0,0,,74.6
combined_audio_video_01,mas-nocoord,2,4,1,3,1,0.25,0.5,0.333,10.12,118.6,0,0,,91.1
combined_audio_video_01,mas-rules-visiononly,2,2,1,1,1,0.5,0.5,0.5,0.02,51.4,0,0,,70.1
combined_audio_video_01,mas-rules,2,3,1,2,1,0.333,0.5,0.4,3.03,90.5,0,0,,79.6
demo_site_01,centralized-visiononly,3,4,1,3,2,0.25,0.333,0.286,16.11,60.9,0,0,,177.4
demo_site_01,centralized,3,5,2,3,1,0.4,0.667,0.5,18.55,64.6,0,0,,167.3
demo_site_01,mas-auction-visiononly,3,3,2,1,1,0.667,0.667,0.667,6.27,46.0,5,1,1481.6,78.2
demo_site_01,mas-auction,3,4,2,2,1,0.5,0.667,0.571,11.8,69.1,10,2,1482.0,104.2
demo_site_01,mas-nocoord-visiononly,3,4,2,2,1,0.5,0.667,0.571,6.3,71.0,0,0,,101.5
demo_site_01,mas-nocoord,3,6,2,4,1,0.333,0.667,0.444,14.04,122.8,0,0,,117.3
demo_site_01,mas-rules-visiononly,3,3,2,1,1,0.667,0.667,0.667,5.99,47.6,2,1,436.8,75.6
demo_site_01,mas-rules,3,3,2,1,1,0.667,0.667,0.667,11.27,38.4,4,2,410.7,93.8
fight_01,centralized,1,1,0,1,1,0.0,0.0,0.0,,201.5,0,0,,17.9
fight_01,mas-auction,1,1,0,1,1,0.0,0.0,0.0,,185.6,4,1,1239.2,19.4
fight_01,mas-nocoord,1,1,0,1,1,0.0,0.0,0.0,,185.0,0,0,,19.5
fight_01,mas-rules,1,1,0,1,1,0.0,0.0,0.0,,185.0,2,1,241.7,19.5
intrusion_01,centralized-visiononly,2,4,1,3,1,0.25,0.5,0.333,3.03,56.2,0,0,,192.2
intrusion_01,centralized,2,4,1,3,1,0.25,0.5,0.333,1.04,42.7,0,0,,253.2
intrusion_01,mas-auction-visiononly,2,2,1,1,1,0.5,0.5,0.5,1.04,32.9,0,0,,109.4
intrusion_01,mas-auction,2,3,1,2,1,0.333,0.5,0.4,3.03,81.3,5,1,1506.0,88.6
intrusion_01,mas-nocoord-visiononly,2,2,1,1,1,0.5,0.5,0.5,0.02,42.6,0,0,,84.5
intrusion_01,mas-nocoord,2,4,1,3,1,0.25,0.5,0.333,4.03,96.0,0,0,,112.4
intrusion_01,mas-rules-visiononly,2,2,1,1,1,0.5,0.5,0.5,0.01,43.8,0,0,,82.2
intrusion_01,mas-rules,2,2,1,1,1,0.5,0.5,0.5,3.12,42.9,2,1,472.6,84.0
loitering_01,centralized,0,0,0,0,0,0.0,0.0,0.0,,0.0,0,0,,37.0
loitering_01,mas-auction,0,0,0,0,0,0.0,0.0,0.0,,0.0,0,0,,59.4
loitering_01,mas-nocoord,0,0,0,0,0,0.0,0.0,0.0,,0.0,0,0,,59.5
loitering_01,mas-rules,0,0,0,0,0,0.0,0.0,0.0,,0.0,0,0,,59.3
